sym,dir,entry_time,entry_price,exit_time,exit_price,pnl_rub,reason,contracts,go,stop,pattern
HY,L,2025-01-03 10:05:00+08:00,5360.0,2025-01-03 12:40:00+08:00,5386.0,14.552238805970148,fade,1,3000.0,5312.5,vou
YD,L,2025-01-03 12:50:00+08:00,4067.0,2025-01-03 12:55:00+08:00,4064.0,-3.688222276862552,fade,1,5000.0,4015.5714285714284,vod
AF,L,2025-01-03 12:45:00+08:00,6093.0,2025-01-03 13:15:00+08:00,6115.0,18.053504021007715,fade,1,5000.0,6075.142857142857,sm
AL,L,2025-01-03 13:10:00+08:00,5852.0,2025-01-03 13:20:00+08:00,5864.0,20.50580997949419,fade,2,5000.0,5831.428571428572,vou
BR,S,2025-01-03 13:20:00+08:00,75.95,2025-01-03 13:25:00+08:00,74.38,496.11586570112144,fade,8,3000.0,76.55357142857144,vyf
NM,L,2025-01-03 13:25:00+08:00,15040.0,2025-01-03 13:30:00+08:00,15008.0,-17.93617021276596,fade,6,1405.0,14968.214285714286,vod
AL,L,2025-01-03 13:30:00+08:00,5835.0,2025-01-03 13:35:00+08:00,5837.0,5.141388174807197,fade,3,5000.0,5812.571428571428,vou
SV,S,2025-01-03 13:30:00+08:00,30.9,2025-01-03 13:40:00+08:00,30.86,25.889967637539904,fade,4,5000.0,31.11785714285714,vod
SN,L,2025-01-03 13:35:00+08:00,25710.0,2025-01-03 13:40:00+08:00,25710.0,0.0,fade,3,5000.0,25580.35714285714,vou
GL,L,2025-01-03 13:35:00+08:00,9082.0,2025-01-03 13:40:00+08:00,9079.3,-1.4864567275934417,fade,1,5000.0,9057.971428571427,vod
HY,L,2025-01-03 13:45:00+08:00,5398.0,2025-01-03 13:50:00+08:00,5390.0,-31.122638014079293,fade,7,3000.0,5369.428571428572,vou
AL,L,2025-01-03 13:45:00+08:00,5823.0,2025-01-03 13:50:00+08:00,5824.0,3.434655675768504,fade,4,5000.0,5801.285714285715,vou
GL,L,2025-01-03 13:45:00+08:00,9102.5,2025-01-03 13:55:00+08:00,9105.5,8.23949464432848,fade,5,5000.0,9078.285714285714,vod
BR,S,2025-01-03 13:55:00+08:00,76.15,2025-01-03 14:00:00+08:00,74.38,348.6539724228516,fade,5,3000.0,77.93928571428575,vyf
AL,L,2025-01-03 14:00:00+08:00,5821.0,2025-01-03 14:05:00+08:00,5835.0,60.12712592338086,fade,5,5000.0,5794.857142857143,vou
NG,S,2025-01-03 14:00:00+08:00,2.997,2025-01-03 14:05:00+08:00,2.995,10.010010010008909,fade,3,5000.0,3.032,vyf
