ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd,fill_rate
GZ,H1,D,4,1516,67.74,2.6979,0.4142,11.0915,44.2
RB,H1,D,4,424,67.69,3.3416,0.1166,1.6678,52.7
NG,H1,D,2,1738,67.66,2.7939,0.5577,22.3485,48.9
RB,H1,D,3,424,67.45,3.2906,0.0978,1.3922,52.7
MG,H1,D,2,1781,67.43,2.9023,0.4342,21.1839,50.5
ME,H1,D,3,1734,67.19,2.578,0.5256,15.1169,50.5
GK,H1,D,4,1561,67.14,3.085,0.511,14.0504,50.3
KC,H1,D,3,231,67.1,3.4829,0.5053,3.1939,56.3
YD,H1,D,4,863,67.09,2.8496,0.4936,11.9921,49.1
IMOEXF,H1,D,4,1275,67.06,2.3948,0.251,8.8983,48.0
NA,H1,D,4,1694,67.0,2.7326,0.2582,10.2174,50.0
RB,H1,D,2,424,66.98,3.3316,0.0933,1.9092,52.7
NM,H1,D,4,1749,66.95,2.8145,0.4799,16.2315,51.5
SE,H1,D,4,1497,66.93,3.1555,0.739,14.348,53.6
PD,H1,D,4,1729,66.92,2.8211,0.5498,18.7745,50.7
AL,H1,D,4,1659,66.85,3.0377,0.5164,9.14,50.2
HY,H1,D,3,1940,66.8,3.0626,0.4784,12.5335,54.4
SS,H1,D,4,1764,66.78,3.1919,0.7427,14.6633,54.5
SN,H1,D,4,1710,66.67,2.6473,0.4621,11.3357,50.7
HY,H1,D,4,1940,66.65,2.9073,0.4895,14.0432,54.4
SR,H1,D,4,1631,66.58,2.4483,0.282,15.6149,45.2
NG,H1,D,3,1738,66.46,2.5445,0.5758,26.0994,48.9
BM,H1,D,2,759,66.4,3.4021,0.4986,8.1771,53.2
MX,H1,D,4,1622,66.4,2.619,0.2803,7.6507,45.7
MC,H1,D,4,1636,66.38,2.6213,0.2798,7.6507,45.7
KC,H1,D,4,231,66.23,2.8919,0.4867,5.1509,56.3
MG,H1,D,4,1780,66.07,2.5847,0.4534,23.814,50.5
BR,H1,D,3,1660,66.02,2.9516,0.4035,7.9751,46.6
NG,H1,D,4,1738,66.0,2.4674,0.6329,56.1153,48.9
IB,H1,D,3,558,65.95,2.7231,0.5174,8.2137,53.0
OJ,H1,D,2,480,65.83,2.6529,0.6545,13.0715,53.2
MM,H1,D,4,1626,65.68,2.623,0.4128,16.5848,49.0
CC,H1,D,4,781,65.43,2.0527,0.5152,35.0731,47.2
HS,H1,D,2,1933,65.34,2.255,0.2654,15.2283,56.9
PT,H1,D,4,1703,65.18,2.1661,0.3452,27.1782,49.2
SF,H1,D,2,1003,65.1,3.4124,0.9419,17.2752,58.6
BR,H1,D,4,1659,64.98,2.6256,0.4048,13.2721,46.6
BM,H1,D,3,759,64.95,2.8395,0.4792,8.25,53.2
ME,H1,D,4,1734,64.94,2.37,0.5321,21.2796,50.5
IB,H1,D,4,558,64.87,2.7207,0.5673,9.0899,53.0
CC,H1,D,3,783,64.62,2.1854,0.5366,36.0302,47.3
CR,H1,D,2,510,64.31,2.4018,0.1581,3.5351,50.1
CE,H1,D,2,1090,64.31,2.2836,0.2713,13.4882,61.5
HS,H1,D,3,1932,63.77,2.0578,0.2522,16.044,56.9
HS,H1,D,4,1931,63.34,1.9148,0.2413,18.1026,56.8
OJ,H1,D,3,480,63.12,2.4051,0.6595,14.8901,53.2
SP,H1,D,2,1355,63.03,1.6432,0.4982,125.6522,58.5
CR,H1,D,4,510,62.94,2.1962,0.1765,5.3283,50.1
SP,H1,D,3,1355,62.58,1.6834,0.576,82.2001,58.5
CE,H1,D,3,1090,62.57,2.2711,0.2808,9.4312,61.5
OJ,H1,D,4,480,62.5,2.1398,0.647,17.3069,53.2
RL,H1,D,3,245,62.45,2.1755,0.3096,10.9535,48.0
W4,H1,D,4,1704,62.27,2.3812,0.4184,20.3745,75.7
W4,H1,D,2,1705,61.99,2.1923,0.349,31.2834,75.7
DX,H1,D,2,1886,61.93,2.3807,0.2254,15.1861,59.9
CE,H1,D,4,1089,61.89,2.0831,0.2803,10.8053,61.5
SP,H1,D,4,1355,61.85,1.5701,0.5434,126.5388,58.5
SF,H1,D,3,1003,61.81,2.7442,0.7722,24.1506,58.6
SF,H1,D,4,1002,61.78,2.3768,0.6964,26.4529,58.5
BM,H1,D,4,758,61.74,2.3795,0.4496,12.6058,53.2
W4,H1,D,3,1704,61.74,2.2243,0.3632,20.726,75.7
RL,H1,D,4,245,61.63,1.946,0.2965,17.7271,48.0
DX,H1,D,3,1886,61.45,2.2458,0.225,15.6862,59.9
CR,H1,D,3,510,61.18,2.0982,0.1556,5.6889,50.1
DX,H1,D,4,1886,61.08,2.1102,0.2207,12.1777,59.9
MN,H1,D,2,256,60.16,1.735,0.1596,10.4364,50.0
MN,H1,D,4,256,58.98,1.9581,0.244,7.1932,50.0
MN,H1,D,3,256,58.2,1.6973,0.1785,13.2287,50.0
VI,H1,D,3,472,56.99,1.3899,0.3828,68.6977,67.2
VI,H1,D,4,472,56.57,1.3728,0.3706,95.0302,67.2
VI,H1,D,2,472,56.14,1.3802,0.3413,49.828,67.2
NR,H1,D,4,922,55.86,1.547,0.1908,18.1945,63.9
NR,H1,D,2,923,55.36,1.4133,0.1273,17.8098,63.9
NR,H1,D,3,922,55.31,1.6059,0.2065,20.5247,63.9
Si,H1,E,4,3586,50.78,1.0391,0.0072,18.974,99.9
Si,H1,E,2,3588,49.8,1.0213,0.003,25.0836,100.0
MN,H1,E,4,510,49.8,0.9351,-0.0216,28.6796,99.6
RI,H1,E,4,3576,49.78,0.9764,-0.0067,68.6131,100.0
Si,H1,E,3,3587,49.76,1.0274,0.0045,23.5101,100.0
MX,H1,E,4,3553,49.42,0.9344,-0.0156,74.0561,100.0
MC,H1,E,4,3583,49.37,0.9336,-0.0158,75.364,100.0
BR,H1,E,4,3559,49.34,0.9323,-0.0245,159.4006,99.9
BR,H1,E,2,3561,49.28,0.9187,-0.0223,138.9667,99.9
MC,H1,E,3,3583,49.12,0.9031,-0.0204,84.0651,100.0
MX,H1,E,3,3553,49.11,0.9024,-0.0206,83.7612,100.0
BR,H1,E,3,3560,48.88,0.9412,-0.0187,135.77,99.9
IMOEXF,H1,E,4,2653,48.85,0.9833,-0.0038,41.5825,99.9
GD,H1,E,4,3655,48.81,1.0446,0.008,29.8426,99.9
CR,H1,E,4,1017,48.67,0.9537,-0.0088,18.8952,99.9
GD,H1,E,3,3656,48.55,1.0076,0.0012,31.265,99.9
RI,H1,E,2,3576,48.49,0.9543,-0.0095,60.1685,100.0
NG,H1,E,3,3553,48.47,0.906,-0.0522,226.5119,100.0
RI,H1,E,3,3576,48.32,0.9662,-0.0084,64.6705,100.0
NG,H1,E,4,3552,48.31,0.9658,-0.0215,230.731,99.9
NG,H1,E,2,3553,48.27,0.9,-0.0444,186.0984,100.0
GAZPF,H1,E,4,1780,48.2,0.9668,-0.0117,64.6159,99.9
IMOEXF,H1,E,3,2654,47.81,0.9722,-0.0055,36.5825,99.9
LK,H1,E,3,3434,47.7,0.7919,-0.0618,226.176,100.0
MC,H1,E,2,3583,47.53,0.8743,-0.0224,88.0711,100.0
LK,H1,E,4,3433,47.51,0.8139,-0.0609,218.9789,100.0
SV,H1,E,4,3576,47.4,0.9622,-0.0144,85.6063,100.0
MX,H1,E,2,3553,47.4,0.8714,-0.023,88.0711,100.0
FF,H1,E,2,72,47.22,0.3603,-0.7784,48.9429,100.0
GZ,H1,E,4,3430,47.0,0.8024,-0.073,258.7526,99.9
LK,H1,E,2,3434,46.91,0.7758,-0.0564,201.9475,100.0
