ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd
GZ,15m,A,3,13248,78.43,6.4345,0.3332,8.1308
Si,30m,A,3,7633,78.38,6.5427,0.2518,4.2642
MX,30m,A,3,7243,78.37,6.5374,0.2983,3.9865
MC,30m,A,3,7302,78.35,6.541,0.2977,3.9865
GAZPF,30m,A,3,3641,78.33,6.5046,0.443,4.3111
CNYRUBF,30m,A,3,6970,78.31,6.8995,0.2351,3.7221
PT,H1,A,3,3463,78.31,5.9023,0.6375,14.4125
VB,30m,A,3,6530,78.3,8.0605,0.6363,39.44
RM,H1,A,3,3323,78.27,6.8115,0.5401,5.4699
MN,H1,A,2,510,78.24,6.0393,0.4696,3.3767
LK,H1,A,4,3433,78.24,5.4848,0.5261,14.181
USDRUBF,30m,A,3,7401,78.17,6.8332,0.2236,3.9471
AL,H1,A,3,3304,78.15,6.8732,0.7017,7.0089
SR,30m,A,3,7159,78.15,6.489,0.341,9.6126
EURRUBF,H1,A,4,3342,78.13,6.2304,0.3461,2.6194
Si,15m,A,3,13277,78.12,6.075,0.183,4.7322
GK,H1,A,3,3103,78.12,6.4055,0.6824,6.7489
Eu,15m,A,3,13268,78.11,6.3917,0.1966,4.2483
MG,H1,A,3,3527,78.08,6.157,0.7274,7.3529
SS,30m,A,2,6488,78.05,7.8228,0.8115,14.4205
PT,15m,A,2,14809,78.05,7.1704,0.3551,15.2916
BR,H1,A,3,3560,78.03,7.0552,0.6279,6.8204
AL,15m,A,2,14232,78.02,7.1713,0.4282,13.0258
SR,15m,A,3,13379,78.01,6.8022,0.2685,7.0516
SR,5m,A,3,38991,77.95,3.7641,0.1209,46.8739
MX,5m,A,3,37805,77.94,4.2096,0.1117,28.8629
GLDRUBF,H1,A,4,3055,77.94,6.014,0.4302,6.5343
MC,5m,A,3,38093,77.92,4.204,0.1114,28.8629
GD,5m,A,3,38081,77.91,5.824,0.0887,11.9774
GLDRUBF,15m,A,3,11785,77.9,6.5307,0.2039,3.1021
GD,30m,A,3,6948,77.88,6.259,0.2251,6.3467
Eu,30m,A,3,7166,77.88,6.7807,0.2732,4.0483
BR,15m,A,3,13477,77.87,6.8495,0.3275,8.941
RI,5m,A,3,36051,77.86,6.0769,0.1475,10.9712
GD,15m,A,3,13620,77.83,6.5448,0.1608,3.5041
MX,15m,A,3,13330,77.83,6.3933,0.2305,6.3201
ED,H1,A,3,3177,77.81,6.7211,0.1525,1.8016
NM,H1,A,3,3394,77.78,6.5031,0.722,7.5468
MC,15m,A,3,13439,77.78,6.3705,0.2297,6.3201
Si,H1,C,2,1374,77.73,5.6475,0.2953,2.5934
GZ,H1,A,4,3430,77.73,5.7452,0.6179,6.7319
NG,H1,A,3,3553,77.71,5.7908,0.9845,20.2529
MM,15m,A,2,14694,77.69,6.8746,0.3776,22.5521
MX,H1,A,4,3553,77.65,5.4265,0.432,5.3019
MC,H1,A,4,3583,77.64,5.4233,0.4309,5.3019
OJ,H1,A,2,903,77.63,7.1573,1.1339,6.3211
MG,30m,A,2,7471,77.62,6.9578,0.5185,9.8417
X5,H1,A,2,67,77.61,6.1429,0.567,5.4033
RI,30m,A,3,7519,77.59,6.21,0.3574,4.3434
RI,15m,A,3,13399,77.57,6.4737,0.2643,6.1836
GL,30m,A,3,6101,77.51,6.8634,0.4319,6.4304
RL,30m,A,2,978,77.51,6.4905,0.4257,4.1517
PD,H1,A,4,3409,77.5,5.592,0.8239,11.295
CC,H1,A,3,1654,77.45,6.1063,1.0942,11.1
SS,H1,A,3,3237,77.45,6.7119,1.0052,10.074
RI,H1,A,4,3576,77.43,5.5249,0.5315,7.02
RN,30m,A,3,7263,77.41,6.4143,0.4199,7.6967
RN,H1,A,4,3375,77.39,5.3636,0.5807,9.1218
CC,15m,A,3,6693,77.35,6.5006,0.6383,35.3404
CNYRUBF,15m,A,3,11837,77.34,6.4114,0.1666,5.725
GLDRUBF,H1,C,2,1213,77.33,6.3832,0.3346,2.5241
LK,H1,C,2,1328,77.33,4.9337,0.4097,7.5415
NA,30m,A,3,6920,77.33,6.2289,0.2876,5.5378
USDRUBF,15m,A,3,13137,77.31,6.3999,0.1585,2.5202
SBERF,H1,A,4,1806,77.3,5.2426,0.4134,7.0983
HS,H1,A,2,3397,77.27,5.0494,0.4426,15.0582
YD,30m,A,3,3746,77.2,7.1604,0.5458,6.5568
GL,H1,A,4,2873,77.2,5.4059,0.5241,11.1503
OJ,H1,A,3,903,77.19,5.3439,1.1625,10.9087
GAZPF,15m,A,3,6994,77.17,5.9274,0.3001,3.4285
Eu,5m,A,3,38123,77.17,5.1591,0.0974,9.4112
SF,H1,A,2,1711,77.15,8.6746,1.3039,12.3246
ED,30m,A,3,6530,77.14,6.194,0.1108,1.5424
VB,H1,A,4,3194,77.14,8.4232,1.0429,18.0429
IMOEXF,H1,A,4,2653,77.12,5.1323,0.4163,5.6368
ME,H1,A,4,3436,77.12,5.8371,0.9535,8.9773
NM,15m,A,2,14782,77.12,6.5833,0.3988,9.995
BR,5m,A,3,36918,77.11,4.6769,0.1703,41.4946
AF,H1,A,4,3231,77.1,5.757,0.774,8.4051
AF,30m,A,3,7109,77.07,6.5319,0.5814,9.115
BR,30m,A,3,6794,77.07,5.9596,0.4358,11.4219
HY,H1,A,3,3566,77.01,6.3567,0.6914,7.5212
SE,H1,A,3,2794,76.99,6.4919,1.0088,13.5433
CNYRUBF,H1,C,2,1402,76.96,6.4079,0.2857,1.9279
MM,30m,A,3,7192,76.93,6.691,0.5224,14.0041
BM,30m,A,2,2839,76.93,7.4516,0.5235,5.8846
ME,15m,A,2,13912,76.89,5.8671,0.4479,16.7018
CR,15m,A,2,2864,76.89,5.6902,0.1422,4.2952
GZ,5m,A,3,38431,76.89,4.2721,0.1603,39.3968
RM,H1,A,4,3323,76.86,5.6564,0.5478,7.1134
KC,H1,A,2,410,76.83,7.8899,0.6697,2.1947
IMOEXF,30m,A,3,5340,76.82,5.9116,0.2783,3.9249
EURRUBF,30m,A,3,7331,76.8,6.1217,0.2268,3.8776
AL,30m,A,3,7057,76.8,6.3736,0.5408,11.0166
VB,15m,A,3,12402,76.79,7.2088,0.4617,43.154
GAZPF,H1,C,2,689,76.78,5.7566,0.5373,3.844
CE,H1,A,2,1772,76.75,5.8502,0.505,5.5097
AL,H1,A,4,3303,76.75,5.5975,0.7103,9.0578
SBERF,30m,A,3,3746,76.75,5.8529,0.2779,8.9101
IMOEXF,15m,A,3,9718,76.69,6.0912,0.1998,4.013
RM,H1,C,2,1513,76.67,6.2325,0.4363,4.182
CNYRUBF,30m,C,2,2775,76.65,5.9091,0.1885,2.0095
VB,H1,C,2,1246,76.65,1.6336,0.2856,430.2501
IB,30m,A,3,2165,76.63,5.5195,0.5577,5.0395
SN,H1,A,4,3370,76.62,5.6722,0.725,5.9608
SV,H1,A,4,3576,76.62,5.1362,0.659,15.6876
SV,30m,A,3,7017,76.61,6.156,0.4559,8.5692
GK,H1,A,4,3103,76.6,5.4514,0.6877,7.9593
X5,15m,A,2,329,76.6,9.8663,0.7161,6.018
CR,H1,A,3,1017,76.6,4.8385,0.2873,3.3297
ED,H1,A,4,3176,76.57,5.4375,0.1523,1.7211
KC,30m,A,2,802,76.56,7.6091,0.4823,2.4322
GD,H1,A,4,3655,76.55,5.6347,0.3332,5.7755
LK,15m,A,3,14051,76.55,5.6523,0.2648,12.2312
RM,30m,A,3,6757,76.54,6.5968,0.3821,5.0576
Si,5m,A,4,37125,76.54,4.9779,0.0975,12.1006
GK,30m,A,3,6269,76.54,6.7649,0.5139,6.1179
TT,30m,A,3,2510,76.53,6.3507,0.436,9.4854
TN,30m,A,3,2510,76.53,6.3507,0.436,9.4854
PD,30m,A,3,7177,76.52,5.915,0.6054,10.8299
SN,15m,A,2,14687,76.49,6.3556,0.3986,13.4383
MM,H1,A,4,3318,76.49,5.9008,0.6884,9.7386
RI,H1,C,2,1460,76.44,5.9186,0.4223,4.4246
GLDRUBF,30m,A,4,6005,76.4,5.7326,0.2981,4.9317
BM,15m,A,2,5522,76.39,7.2219,0.4107,6.3396
CNYRUBF,5m,A,3,30800,76.38,6.75,0.0919,2.8406
GLDRUBF,5m,A,3,34818,76.37,5.8124,0.1106,7.1181
NA,15m,A,3,13598,76.35,6.5732,0.2173,7.2896
SR,H1,A,4,3602,76.35,5.2289,0.4572,6.8568
CC,30m,A,3,3472,76.32,5.6588,0.7797,12.1138
ED,H1,C,2,1393,76.31,6.1458,0.1344,1.7981
IB,H1,A,3,1051,76.31,5.6975,0.7182,5.3368
NG,30m,A,3,7247,76.27,5.8818,0.7044,7.5185
IMOEXF,5m,A,3,24705,76.26,6.4695,0.1199,3.9152
SE,30m,A,2,5891,76.25,6.7413,0.7401,16.6775
NM,30m,A,3,7337,76.24,5.7866,0.5314,15.7446
GZ,30m,A,4,7039,76.22,5.6671,0.4392,9.1344
UC,H1,A,3,3068,76.21,6.703,0.1393,2.5439
BM,H1,A,3,1423,76.18,5.6823,0.7163,7.3085
GL,15m,A,3,12487,76.18,6.4971,0.3482,8.5978
IB,15m,A,3,4496,76.18,6.1944,0.464,7.1811
YD,15m,A,3,7498,76.18,6.6992,0.4342,10.3406
VB,30m,A,4,6529,76.17,7.0566,0.6468,34.7613
USDRUBF,30m,A,4,7401,76.15,5.59,0.2253,4.6008
RM,15m,A,3,12018,76.15,7.0402,0.2973,4.3122
CNYRUBF,15m,C,2,5122,76.14,5.867,0.1284,2.4408
SV,15m,A,3,13698,76.14,6.2058,0.3204,7.9441
SV,5m,A,3,35346,76.11,5.7801,0.1842,18.4566
Eu,30m,A,4,7166,76.1,5.5802,0.2747,3.752
PT,H1,A,4,3463,76.09,5.0602,0.6499,13.2491
LK,30m,A,4,7047,76.06,5.6819,0.3806,10.1779
ME,30m,A,3,7234,76.06,5.6473,0.6396,7.9137
VB,30m,C,2,2673,76.06,2.1093,0.308,434.4662
TT,H1,A,4,1277,76.04,5.2588,0.5533,8.6827
TN,H1,A,4,1277,76.04,5.2588,0.5533,8.6827
PT,30m,A,3,7234,76.04,5.9243,0.4732,10.6004
GK,H1,C,2,1339,76.03,5.3034,0.5889,5.9398
Si,30m,A,4,7632,76.01,5.2434,0.2501,6.0061
TN,15m,A,3,5068,75.95,7.5439,0.4218,6.9634
TT,15m,A,3,5068,75.95,7.5439,0.4218,6.9634
SR,H1,C,2,1387,75.92,4.769,0.3568,4.6308
HS,30m,A,2,7162,75.91,5.8651,0.4095,11.6599
GZ,30m,C,2,2724,75.88,4.4646,0.3241,10.6226
SBERF,15m,A,3,7226,75.86,5.2778,0.1917,9.1283
SN,30m,A,3,7285,75.83,5.546,0.515,7.155
ED,15m,A,3,12971,75.82,6.3087,0.08,1.8088
CNYRUBF,30m,A,4,6970,75.8,5.6066,0.235,6.1409
SR,30m,A,4,7158,75.79,5.5077,0.3424,6.9933
NA,5m,A,3,39330,75.78,3.2861,0.0944,49.5629
USDRUBF,5m,A,3,35771,75.76,6.5364,0.088,2.5638
MC,30m,A,4,7302,75.73,5.4306,0.3017,7.7638
HY,30m,A,2,7523,75.71,5.9783,0.512,9.574
MX,30m,A,4,7243,75.71,5.4312,0.3022,7.7638
DX,H1,A,2,3147,75.69,5.1634,0.3939,11.4147
NA,H1,A,4,3387,75.67,5.328,0.3872,4.9357
Si,15m,A,4,13277,75.65,4.9885,0.1861,4.6273
CR,30m,A,2,1837,75.61,5.2957,0.1946,2.277
MG,H1,A,4,3527,75.59,5.1956,0.7158,11.3487
MN,30m,A,2,822,75.55,5.6507,0.3134,2.6661
GK,15m,A,3,12552,75.54,6.0686,0.4019,89.2214
KC,15m,A,2,1459,75.53,6.3983,0.3445,3.4435
NA,H1,C,2,1406,75.53,6.0703,0.317,2.4652
SBERF,H1,C,2,727,75.52,4.3828,0.3079,8.7829
RB,H1,A,3,804,75.5,6.2758,0.1365,1.5079
RI,5m,A,4,36051,75.5,4.9703,0.1473,7.2223
BR,H1,A,4,3559,75.47,5.397,0.6223,9.086
RN,15m,A,3,14639,75.46,5.4699,0.3027,11.5264
RN,30m,A,4,7263,75.45,5.1393,0.4141,12.5965
YD,H1,A,4,1758,75.43,5.275,0.6915,6.8228
SS,15m,A,2,12538,75.43,6.8262,0.6585,10.8681
UC,30m,A,2,6308,75.41,7.1275,0.1077,3.0356
SR,5m,A,4,38991,75.41,3.4098,0.1237,42.891
CC,H1,A,4,1653,75.38,5.1581,1.1158,10.0341
SV,H1,C,2,1511,75.38,4.3898,0.4574,5.7619
MX,5m,A,4,37805,75.37,3.7001,0.1103,57.6689
GD,5m,A,4,38080,75.37,4.6918,0.088,13.7338
GLDRUBF,30m,C,2,2298,75.37,5.5588,0.2191,3.1063
NG,15m,A,3,13818,75.37,6.0577,0.5501,45.1039
GL,30m,A,4,6101,75.35,5.8134,0.4425,8.2541
MC,5m,A,4,38093,75.34,3.7023,0.1101,57.6689
GD,30m,A,4,6948,75.33,5.2393,0.2295,3.9452
SS,30m,A,3,6488,75.28,6.0578,0.7702,13.1262
VB,5m,A,3,34451,75.26,2.7831,0.1654,433.6381
RB,30m,A,3,1361,75.24,5.8978,0.0943,0.9244
SR,15m,A,4,13378,75.23,5.5609,0.2687,7.2026
GAZPF,30m,A,4,3640,75.22,5.4101,0.4487,7.6572
CR,H1,A,4,1017,75.22,4.4412,0.3059,2.9055
EURRUBF,15m,A,3,14010,75.21,5.5582,0.1551,2.7184
MX,15m,A,4,13330,75.2,5.1881,0.2277,6.1069
NM,H1,A,4,3394,75.19,5.0538,0.7054,6.1725
MC,15m,A,4,13439,75.17,5.1741,0.227,6.1069
UC,H1,C,2,1633,75.14,5.1919,0.1149,2.5195
GZ,H1,C,2,1279,75.14,4.9469,0.4906,5.0097
CC,5m,A,3,18184,75.08,3.4582,0.31,118.4734
RL,15m,A,2,1697,75.07,6.0291,0.3018,3.5265
GZ,15m,A,4,13248,75.06,5.3583,0.3351,9.0518
SE,H1,A,4,2794,75.05,5.4546,1.0226,15.3773
Eu,15m,A,4,13268,75.03,5.0585,0.1958,5.0528
X5,30m,A,4,188,75.0,13.4631,0.9776,5.3369
X5,30m,A,3,188,75.0,9.3841,0.8706,5.6326
RN,H1,C,2,1339,74.98,4.8333,0.442,7.7717
USDRUBF,15m,C,2,5466,74.95,5.5833,0.1212,1.8433
CE,30m,A,2,3492,74.94,5.1046,0.3707,10.1431
ED,5m,A,3,34044,74.93,4.7691,0.0424,2.9411
IMOEXF,30m,C,2,2237,74.92,5.4963,0.2314,4.3226
RI,30m,A,4,7519,74.92,5.0549,0.3594,7.8386
MN,15m,A,2,1339,74.91,5.8604,0.2315,2.261
NA,30m,A,4,6920,74.9,5.219,0.2924,4.61
AF,H1,C,2,1354,74.89,4.6815,0.5667,8.9344
TN,30m,A,4,2510,74.86,5.818,0.4546,9.5314
TT,30m,A,4,2510,74.86,5.818,0.4546,9.5314
BR,15m,A,4,13477,74.85,5.2261,0.3249,18.705
RB,15m,A,2,2341,74.84,5.813,0.055,0.7161
PT,15m,A,3,14808,74.82,5.6041,0.3569,9.813
GD,15m,A,4,13620,74.74,5.1041,0.1597,8.051
BR,30m,A,4,6794,74.73,5.0473,0.4439,8.5786
AL,30m,A,4,7057,74.72,5.6574,0.5465,13.2828
PD,15m,A,3,14531,74.72,5.6719,0.4528,9.3654
GLDRUBF,15m,A,4,11785,74.71,5.0601,0.2007,3.72
SP,15m,A,2,6094,74.71,4.2098,0.6922,85.9266
SS,H1,A,4,3237,74.7,5.741,0.9978,9.1379
ED,30m,A,4,6530,74.69,5.4459,0.1122,1.6411
EURRUBF,30m,A,4,7331,74.67,5.1039,0.2288,4.5174
RL,H1,A,3,509,74.66,5.2611,0.5482,6.0707
Si,15m,C,2,5090,74.66,4.3542,0.129,7.0865
AF,15m,A,3,14457,74.66,6.0393,0.4594,13.6652
IB,5m,A,3,13408,74.65,3.0516,0.1941,31.7362
IMOEXF,15m,C,2,4231,74.64,5.8723,0.1598,2.3107
RB,H1,A,4,804,74.63,5.1121,0.1434,1.1428
GAZPF,30m,C,2,1423,74.63,4.8991,0.3346,4.345
PD,30m,A,4,7177,74.61,5.1746,0.6126,9.5537
EURRUBF,H1,C,2,1327,74.6,5.7943,0.2675,1.4787
NG,H1,A,4,3552,74.58,4.7504,1.0155,36.0271
UC,H1,A,4,3067,74.57,5.8398,0.1396,1.9503
SP,H1,A,2,2316,74.57,4.2882,1.2146,33.7641
SR,15m,C,2,5437,74.56,3.7104,0.1805,15.1664
SBERF,30m,A,4,3746,74.56,4.887,0.2825,17.0961
Eu,5m,A,4,38122,74.55,4.329,0.0976,12.5628
PT,H1,C,2,1457,74.54,3.6181,0.4305,17.455
GAZPF,5m,A,3,20755,74.53,5.1877,0.1634,5.2328
OJ,30m,A,2,1605,74.52,5.4224,0.7685,8.5169
NA,15m,A,4,13598,74.5,5.4545,0.2217,6.2156
HS,H1,A,3,3396,74.5,4.2598,0.4351,7.5343
USDRUBF,15m,A,4,13137,74.5,5.0138,0.1586,2.3802
BR,5m,A,4,36917,74.49,4.1187,0.1716,30.2538
MG,30m,A,3,7471,74.49,5.1179,0.498,7.2478
GZ,15m,C,2,5190,74.49,3.7763,0.2343,14.9324
X5,30m,A,2,188,74.47,9.8319,0.7994,6.1349
GZ,5m,A,4,38431,74.45,3.8205,0.1595,75.4024
CC,15m,A,4,6693,74.44,5.2021,0.6304,35.2771
NG,H1,C,2,1436,74.44,5.1682,0.7475,9.2513
GD,30m,C,2,2628,74.43,4.3897,0.1561,8.0537
HY,H1,A,4,3566,74.43,5.2362,0.6836,9.8465
AL,15m,A,3,14231,74.43,5.9118,0.4287,7.3909
SR,30m,C,2,2768,74.42,4.6653,0.2638,6.4034
MM,15m,A,3,14694,74.4,5.6168,0.3785,16.0589
CNYRUBF,15m,A,4,11837,74.39,5.0083,0.166,9.1687
GD,H1,C,2,1436,74.37,4.775,0.2266,3.9418
YD,30m,A,4,3746,74.37,5.9329,0.5392,6.7947
AF,30m,A,4,7109,74.37,5.6571,0.5882,10.5933
RI,15m,A,4,13399,74.35,5.0637,0.2616,7.885
CC,30m,A,4,3471,74.33,4.8852,0.805,15.7047
NM,15m,A,3,14782,74.32,5.1504,0.3899,9.6341
VB,15m,A,4,12402,74.31,6.0819,0.4679,54.9918
IMOEXF,15m,A,4,9718,74.31,4.9404,0.1987,4.3654
MX,30m,C,2,2754,74.29,5.1817,0.2398,4.1824
IMOEXF,H1,C,2,1097,74.29,5.7533,0.327,3.3863
RM,5m,A,3,26462,74.28,5.4613,0.164,9.2211
SF,30m,A,2,3580,74.27,5.4669,1.2604,90.9317
LK,15m,A,4,14051,74.27,4.8081,0.2643,8.2097
MC,30m,C,2,2782,74.26,5.1527,0.2386,4.1824
TT,H1,C,2,528,74.24,4.1529,0.4484,5.2511
TN,H1,C,2,528,74.24,4.1529,0.4484,5.2511
USDRUBF,30m,C,2,2933,74.22,5.4724,0.1699,1.764
GK,30m,A,4,6268,74.22,5.8267,0.5179,4.461
KC,H1,A,3,410,74.15,5.2219,0.63,2.9913
PT,30m,A,4,7234,74.12,5.1777,0.4891,9.3146
GK,30m,C,2,2906,74.12,5.2157,0.4231,8.7129
LK,30m,C,2,2808,74.11,4.3719,0.2706,7.1694
VB,15m,C,2,5534,74.11,2.8607,0.2508,55.4746
GLDRUBF,5m,A,4,34817,74.09,4.7421,0.1107,7.2299
SV,30m,A,4,7017,74.05,5.0318,0.4587,9.2958
GL,5m,A,3,35270,74.04,2.4541,0.1071,50.0035
ME,15m,A,3,13912,74.04,4.6803,0.4461,13.8239
IMOEXF,30m,A,4,5340,74.04,4.9867,0.2812,7.6811
MG,15m,A,2,14582,74.04,5.4239,0.3692,9.0555
YD,H1,C,2,724,74.03,5.1851,0.5601,6.1607
MM,30m,A,4,7192,74.03,5.7146,0.5197,8.7377
NG,30m,A,4,7246,74.01,4.7428,0.7096,11.2065
IMOEXF,5m,A,4,24705,74.01,5.2123,0.1195,4.5019
MC,H1,C,2,1393,74.01,5.3678,0.3374,3.4843
MX,H1,C,2,1384,73.99,5.3591,0.3373,3.4843
GL,H1,C,2,1215,73.99,3.809,0.3808,11.0318
SF,H1,A,3,1710,73.98,6.42,1.2403,12.3001
OJ,H1,A,4,903,73.98,4.6598,1.1811,14.9985
GAZPF,15m,A,4,6994,73.96,4.8475,0.2991,4.56
SE,15m,A,2,10834,73.95,6.3941,0.602,12.9826
NG,5m,A,3,37716,73.93,3.1887,0.2702,255.9288
SN,30m,A,4,7285,73.92,4.9429,0.5177,10.7511
X5,15m,A,3,329,73.86,5.0159,0.626,10.7412
SV,30m,C,2,2956,73.85,4.5593,0.313,7.863
CNYRUBF,5m,A,4,30800,73.85,5.486,0.0926,2.7355
SV,15m,C,2,5902,73.81,4.4328,0.2177,10.8927
YD,15m,A,4,7498,73.79,6.1052,0.4435,10.7195
ME,30m,A,4,7234,73.78,4.773,0.6383,9.2533
RM,30m,A,4,6757,73.76,5.3626,0.3823,7.7887
CC,15m,C,2,2968,73.75,3.5016,0.4086,71.1729
UC,15m,A,2,10776,73.74,5.8625,0.0851,7.2579
MN,H1,A,3,510,73.73,4.844,0.4776,5.2323
NM,30m,A,4,7337,73.71,5.0679,0.5379,10.624
PD,H1,C,2,1464,73.7,4.5897,0.6105,13.1317
SE,30m,A,3,5891,73.65,5.8295,0.7402,17.3652
SV,15m,A,4,13698,73.65,5.009,0.3237,8.7345
GL,15m,A,4,12486,73.65,5.9666,0.3503,13.8175
BM,15m,A,3,5521,73.63,5.265,0.4027,8.9902
RI,30m,C,2,3045,73.63,5.1563,0.2765,5.0376
BR,15m,C,2,5280,73.6,4.3448,0.2223,10.496
RN,15m,A,4,14638,73.59,4.8857,0.3107,10.5516
Eu,H1,C,3,1385,73.57,4.6415,0.3003,4.7729
ED,15m,A,4,12971,73.56,5.191,0.0814,1.7996
SP,H1,A,3,2316,73.53,3.779,1.281,34.9904
IB,15m,A,4,4495,73.53,5.4631,0.4818,9.7568
CE,H1,A,3,1771,73.52,4.7009,0.4893,6.0115
TN,15m,A,4,5068,73.5,6.5566,0.4261,7.4408
TT,15m,A,4,5068,73.5,6.5566,0.4261,7.4408
CR,30m,A,3,1837,73.49,3.9625,0.1934,3.9211
BM,30m,A,3,2838,73.47,5.5347,0.507,4.9496
RI,15m,C,2,5470,73.44,4.6341,0.1882,3.3721
RM,15m,A,4,12018,73.44,5.742,0.2983,4.5058
LK,5m,A,3,41883,73.43,3.7799,0.1219,22.5284
GLDRUBF,15m,C,2,4641,73.41,4.8027,0.1426,3.1822
Si,30m,C,2,2942,73.39,4.6655,0.1836,5.9004
USDRUBF,5m,A,4,35771,73.37,5.2665,0.0882,2.1547
RM,30m,C,2,3115,73.35,5.9339,0.3063,5.334
GK,15m,A,4,12552,73.34,5.3627,0.4076,89.1883
BR,30m,C,2,2625,73.33,4.3975,0.3207,11.3978
HS,15m,A,2,15394,73.31,5.1713,0.3575,17.0133
DX,H1,A,3,3147,73.28,5.0553,0.412,7.9269
NG,15m,A,4,13818,73.28,4.9319,0.5484,45.4006
OJ,15m,A,2,2683,73.28,5.1871,0.5777,8.7988
SBERF,5m,A,3,20917,73.28,4.5876,0.102,17.8942
IB,H1,A,4,1051,73.26,4.742,0.7566,6.053
YD,30m,C,2,1613,73.22,4.8482,0.4123,7.1539
CE,15m,A,2,5968,73.21,4.3057,0.2792,17.1994
SS,15m,A,3,12537,73.21,5.8017,0.663,12.2926
YD,5m,A,3,20499,73.18,3.1302,0.1719,28.8604
SN,15m,A,3,14687,73.16,5.1044,0.3937,14.0417
OJ,30m,A,3,1605,73.15,4.3525,0.7786,13.5966
MX,15m,C,2,5292,73.09,4.1488,0.1657,8.7455
SV,5m,A,4,35345,73.09,4.6092,0.1802,28.3389
VB,5m,A,4,34451,73.08,2.6684,0.1704,433.2105
SS,30m,A,4,6488,73.07,5.3714,0.7825,11.509
MC,15m,C,2,5346,73.05,4.1266,0.1647,8.7455
KC,30m,A,3,801,73.03,5.2028,0.46,3.0376
IB,30m,A,4,2165,73.03,4.2952,0.5469,8.9798
HS,30m,A,3,7162,73.02,4.9251,0.414,9.4108
PD,5m,A,3,37319,73.0,3.0372,0.197,39.0654
NA,5m,A,4,39329,72.91,3.0034,0.0948,49.8586
GD,15m,C,2,5034,72.9,4.5963,0.1088,3.5063
DX,30m,A,2,6549,72.88,5.1458,0.3343,11.3695
CC,30m,C,2,1408,72.87,3.1274,0.4443,36.836
HY,30m,A,3,7522,72.87,4.7844,0.4974,13.8262
HS,H1,A,4,3396,72.82,3.7968,0.4267,10.3045
MM,H1,C,2,1398,72.82,4.666,0.5243,9.9534
Si,H1,C,3,1512,72.82,4.0216,0.2744,5.2669
SBERF,15m,A,4,7226,72.81,4.38,0.191,9.2706
NA,30m,C,2,2928,72.81,5.2381,0.2353,3.9123
SF,H1,A,4,1709,72.79,5.4635,1.1886,16.5867
BM,H1,A,4,1422,72.78,4.9576,0.7392,6.191
CR,15m,A,3,2864,72.77,4.1758,0.1419,4.2279
EURRUBF,15m,A,4,14010,72.76,4.5,0.1556,2.7972
RM,15m,C,2,5904,72.75,5.2426,0.2133,6.5276
YD,H1,C,3,792,72.73,4.0749,0.5423,9.2535
GLDRUBF,H1,C,3,1319,72.71,4.9159,0.3262,2.5016
RL,30m,A,3,978,72.7,4.4302,0.4047,4.0994
Si,5m,A,6,37125,72.69,3.88,0.0983,9.6592
KC,H1,A,4,410,72.68,4.4168,0.6444,3.7796
GK,5m,A,3,31397,72.64,3.7574,0.178,47.1753
EURRUBF,5m,A,3,34225,72.63,5.1889,0.0871,1.7508
RN,30m,C,2,2999,72.62,4.7102,0.3064,4.9894
ED,30m,C,2,2819,72.61,4.5634,0.0834,1.7168
UC,30m,A,3,6308,72.57,5.4808,0.1048,4.1569
PD,15m,A,4,14531,72.56,4.9231,0.4597,16.1635
AF,15m,A,4,14457,72.55,5.0141,0.4555,15.9111
CR,5m,A,3,6058,72.53,4.5878,0.0854,1.9057
SR,15m,A,6,13378,72.48,4.3159,0.2684,8.453
CC,5m,A,4,18184,72.46,2.9054,0.2898,135.7075
SP,30m,A,2,3735,72.45,3.7157,0.8368,82.8117
Eu,30m,C,2,2673,72.43,4.2916,0.1914,4.854
USDRUBF,H1,C,3,1456,72.39,4.9177,0.2568,2.8177
PT,15m,A,4,14808,72.37,4.7727,0.3542,14.1886
GAZPF,H1,C,3,749,72.36,4.0783,0.4972,7.3141
NG,30m,C,2,3013,72.35,4.5627,0.5029,17.1345
MN,H1,A,4,510,72.35,4.2423,0.4992,4.561
MM,15m,A,4,14694,72.35,4.6754,0.3749,16.5409
GL,H1,C,3,1322,72.31,4.0334,0.4154,8.1871
HY,15m,A,2,12915,72.31,4.3111,0.3692,19.0414
UC,H1,C,3,1733,72.3,4.5138,0.1149,3.6534
Eu,15m,C,2,5079,72.3,3.8315,0.1291,8.3532
Si,15m,A,6,13277,72.25,3.894,0.1858,4.9725
RN,5m,A,3,41173,72.25,3.3138,0.1373,29.7462
BR,H1,C,2,1351,72.24,4.7173,0.4881,7.8077
MG,30m,A,4,7471,72.23,4.5958,0.5056,6.6656
TN,30m,C,2,1191,72.21,3.9741,0.311,10.4606
TT,30m,C,2,1191,72.21,3.9741,0.311,10.4606
SR,5m,A,6,38990,72.19,3.0543,0.1257,40.9757
CNYRUBF,H1,C,3,1512,72.16,4.7292,0.268,2.3238
X5,30m,C,4,122,72.13,4.7597,0.7347,6.9135
CE,30m,A,3,3492,72.11,4.3704,0.3786,10.1894
ED,5m,A,4,34044,72.11,3.9569,0.0416,3.2533
AL,H1,C,2,1409,72.11,4.4466,0.5425,15.2369
GAZPF,5m,A,4,20755,72.1,4.3338,0.1641,5.1872
RM,5m,A,4,26462,72.1,4.6362,0.1651,15.7799
