BR: 102870 M1 bars
CR: 101943 M1 bars
GD: 102880 M1 bars
RN: 66364 M1 bars
Si: 101950 M1 bars
MM: 89294 M1 bars
GZ: 101269 M1 bars
NG: 102970 M1 bars

=== BR 3мин ===
risk%  ret%     MDD    PF     WR    Trades
  5%     +64.4%    8.88%   2.51   49.3%   152 ✅
  7%     +64.4%    8.88%   2.51   49.3%   152 ✅
 10%     +67.8%   12.69%   2.32   49.3%   152 ✅
 15%    +163.0%   21.85%   2.27   49.3%   152

=== RN 3мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      +1.0%    5.45%   1.04   39.7%   335 ✅
  2%      +1.0%    5.45%   1.04   39.7%   335 ✅
  3%      +1.0%    5.45%   1.04   39.7%   335 ✅
  4%      -0.2%    9.40%   1.00   39.7%   335 ✅
  5%      +2.1%   10.43%   1.04   39.7%   335 ✅
  7%      +3.1%   15.00%   1.04   39.7%   335 ✅
 10%      +2.4%   22.98%   1.02   39.7%   335
 15%      +2.3%   33.45%   1.01   39.7%   335

=== RN 5мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +22.1%    3.77%   1.70   51.4%   440 ✅
  2%     +22.1%    3.77%   1.70   51.4%   440 ✅
  3%     +22.1%    3.77%   1.70   51.4%   440 ✅
  4%     +43.7%    6.75%   1.71   51.4%   440 ✅
  5%     +54.6%    9.54%   1.66   51.4%   440 ✅
  7%     +94.9%   13.35%   1.66   51.4%   440 ✅
 10%    +171.0%   18.94%   1.63   51.4%   440 ✅
 15%    +346.3%   27.79%   1.60   51.4%   440

=== RN 10мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      +9.5%    4.14%   1.33   47.9%   388 ✅
  2%      +9.5%    4.14%   1.33   47.9%   388 ✅
  3%      +9.5%    4.14%   1.33   47.9%   388 ✅
  4%     +18.1%    7.68%   1.33   47.9%   388 ✅
  5%     +18.4%    7.63%   1.30   47.9%   388 ✅
  7%     +29.0%   13.80%   1.27   47.9%   388 ✅
 10%     +52.7%   19.01%   1.30   47.9%   388 ✅
 15%     +85.1%   28.06%   1.27   47.9%   388

=== RN 15мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +15.6%    2.21%   1.65   53.4%   350 ✅
  2%     +15.6%    2.21%   1.65   53.4%   350 ✅
  3%     +15.6%    2.21%   1.65   53.4%   350 ✅
  4%     +30.5%    4.13%   1.64   53.4%   350 ✅
  5%     +36.1%    4.10%   1.68   53.4%   350 ✅
  7%     +60.7%    7.46%   1.66   53.4%   350 ✅
 10%    +102.1%   10.45%   1.64   53.4%   350 ✅
 15%    +190.3%   16.05%   1.62   53.4%   350 ✅

=== Si 3мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      -1.8%    3.69%   0.70   46.7%    60 ✅
  2%      -1.8%    3.69%   0.70   46.7%    60 ✅
  3%      -1.8%    3.69%   0.70   46.7%    60 ✅
  4%      -1.8%    3.69%   0.70   46.7%    60 ✅
  5%      -1.8%    3.69%   0.70   46.7%    60 ✅
  7%      -3.5%    7.26%   0.70   46.7%    60 ✅
 10%      -5.0%   10.13%   0.67   46.7%    60 ✅
