symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
GL,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,2060,51.7,1.06,0.018,53.023,679.11,996,1064,996
GL,1.75,0.5,LONG,fiz_short_yur_long,3,15m,3442,50.8,1.03,0.003,24.292,354.91,1693,1749,1693
GL,1.75,0.5,LONG,fiz_short_yur_long,6,30m,3442,51.6,1.02,0.002,50.793,413.92,1665,1777,1665
GL,1.75,0.5,LONG,fiz_short_yur_long,12,60m,3442,52.1,1.18,0.028,22.967,616.02,1648,1794,1648
GL,1.75,0.5,LONG,fiz_short_yur_long,24,120m,3442,50.6,1.11,0.025,48.141,847.37,1700,1742,1700
GL,1.75,0.5,LONG,fiz_short_yur_long,48,240m,3442,51.6,1.17,0.048,59.416,1158.11,1666,1776,1666
GL,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,3703,51.4,1.06,0.006,24.305,409.54,1798,1905,1798
GL,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,3703,50.7,1.06,0.009,31.353,530.28,1826,1877,1826
GL,1.75,0.5,SHORT,fiz_long_yur_short,12,60m,3703,51.6,1.03,0.005,38.259,637.4,1791,1912,1791
GL,1.75,0.5,SHORT,fiz_long_yur_short,24,120m,3703,51.1,1.13,0.029,46.258,934.31,1810,1893,1810
GL,1.75,0.5,SHORT,fiz_long_yur_short,48,240m,3703,52.3,1.11,0.033,70.615,1241.69,1766,1937,1766
GL,1.75,0.75,LONG,fiz_short_yur_long,3,15m,2980,50.4,0.99,-0.001,22.707,306.45,1479,1501,1479
GL,1.75,0.75,LONG,fiz_short_yur_long,6,30m,2980,51.3,1.04,0.005,46.085,365.13,1450,1530,1450
GL,1.75,0.75,LONG,fiz_short_yur_long,12,60m,2980,51.8,1.18,0.027,23.771,529.43,1436,1544,1436
GL,1.75,0.75,LONG,fiz_short_yur_long,24,120m,2980,50.6,1.13,0.028,40.788,732.21,1471,1509,1471
GL,1.75,0.75,LONG,fiz_short_yur_long,48,240m,2980,51.5,1.18,0.051,51.825,998.09,1445,1535,1445
GL,1.75,0.75,SHORT,fiz_long_yur_short,3,15m,3264,51.5,1.04,0.005,27.151,363.89,1582,1682,1582
GL,1.75,0.75,SHORT,fiz_long_yur_short,6,30m,3264,50.2,1.05,0.006,34.787,468.82,1625,1639,1625
GL,1.75,0.75,SHORT,fiz_long_yur_short,12,60m,3264,51.6,0.99,-0.001,41.39,554.61,1580,1684,1580
GL,1.75,0.75,SHORT,fiz_long_yur_short,24,120m,3264,51.2,1.13,0.03,48.705,834.4,1593,1671,1593
GL,1.75,0.75,SHORT,fiz_long_yur_short,48,240m,3264,52.1,1.08,0.024,72.384,1076.24,1564,1700,1564
GL,1.75,1.0,LONG,fiz_short_yur_long,3,15m,2506,50.4,0.94,-0.006,37.493,244.05,1242,1264,1242
GL,1.75,1.0,LONG,fiz_short_yur_long,6,30m,2506,51.2,1.02,0.003,51.73,296.55,1222,1284,1222
GL,1.75,1.0,LONG,fiz_short_yur_long,12,60m,2506,52.3,1.16,0.023,22.541,420.55,1196,1310,1196
GL,1.75,1.0,LONG,fiz_short_yur_long,24,120m,2506,50.6,1.13,0.027,37.538,600.63,1237,1269,1237
GL,1.75,1.0,LONG,fiz_short_yur_long,48,240m,2506,50.7,1.16,0.044,49.334,823.67,1235,1271,1235
GL,1.75,1.0,SHORT,fiz_long_yur_short,3,15m,2750,52.0,1.08,0.009,23.023,319.37,1321,1429,1321
GL,1.75,1.0,SHORT,fiz_long_yur_short,6,30m,2750,50.5,1.03,0.005,29.32,384.12,1362,1388,1362
GL,1.75,1.0,SHORT,fiz_long_yur_short,12,60m,2750,51.9,0.98,-0.003,43.245,454.61,1322,1428,1322
GL,1.75,1.0,SHORT,fiz_long_yur_short,24,120m,2750,51.9,1.14,0.031,45.532,696.78,1324,1426,1324
GL,1.75,1.0,SHORT,fiz_long_yur_short,48,240m,2750,52.5,1.08,0.025,66.002,908.16,1307,1443,1307
GL,1.75,1.25,LONG,fiz_short_yur_long,3,15m,2071,50.1,0.95,-0.006,28.607,200.4,1033,1038,1033
GL,1.75,1.25,LONG,fiz_short_yur_long,6,30m,2071,50.9,0.96,-0.004,45.354,228.37,1016,1055,1016
GL,1.75,1.25,LONG,fiz_short_yur_long,12,60m,2071,52.4,1.17,0.024,24.141,344.11,985,1086,985
GL,1.75,1.25,LONG,fiz_short_yur_long,24,120m,2071,50.6,1.13,0.027,28.001,483.43,1023,1048,1023
GL,1.75,1.25,LONG,fiz_short_yur_long,48,240m,2071,50.2,1.18,0.049,38.761,676.51,1032,1039,1032
GL,1.75,1.25,SHORT,fiz_long_yur_short,3,15m,2266,52.0,0.98,-0.002,26.227,251.57,1087,1179,1087
