trades,wr,total_ret_pct,max_dd_pct,calmar,annual_pct,final_capital,scenario
5013,50.51,740.05,61.4,12.0531,5303.44,1680095.0,"Base: BR+AF+SR (no ADX, 5% stop)"
5125,50.05,1233.18,51.4,23.9923,12743.39,2666356.0,Full: BR ADX>25 + AF ADX<25 + ATR stops
3737,49.75,457.64,78.66,5.818,2406.67,1115289.0,"BR+AF+SR all ADX>20, ATR stops"
5125,50.05,1233.18,51.4,23.9923,12743.39,2666356.0,"BR+AF+SR no ADX, ATR stops"
5125,50.05,1233.18,51.4,23.9923,12743.39,2666356.0,"BR+AF+SR BR ADX>25, ATR stops"
