mode,ticker,variant,W,T,hold,trades,wr,total_ret_pct,max_dd_pct,calmar,avg_win,avg_loss,wr_open,wr_mid,wr_close
B_post_recovery,AF,2,10,1.0,5,3788,48.47,-38.4185,91.0998,-0.4217,0.4439,-0.4372,48.497732426303855,48.07692307692308,0.0
B_post_recovery,AF,2,10,1.0,10,2091,49.21,39.3447,56.8032,0.6926,0.584,-0.5288,49.05273937532002,51.449275362318836,0.0
B_post_recovery,AF,2,10,1.0,20,1104,50.45,23.2666,37.9417,0.6132,0.7636,-0.735,50.19455252918288,53.94736842105263,0.0
B_post_recovery,AF,2,10,1.5,5,3692,48.86,30.2262,67.6449,0.4468,0.4505,-0.4144,48.69262056943637,51.2,0.0
B_post_recovery,AF,2,10,1.5,10,2060,49.13,60.7335,27.453,2.2123,0.5727,-0.4951,48.90052356020942,52.0,0.0
B_post_recovery,AF,2,10,1.5,20,1097,51.05,14.0852,29.7205,0.4739,0.7432,-0.7488,50.73170731707317,55.55555555555556,0.0
B_post_recovery,AF,2,10,2.0,5,3575,49.37,30.0054,67.7085,0.4432,0.454,-0.4261,49.19016196760648,51.867219917012456,0.0
B_post_recovery,AF,2,10,2.0,10,2022,49.01,39.6912,54.6068,0.7269,0.5811,-0.5201,48.618490967056324,54.285714285714285,0.0
B_post_recovery,AF,2,10,2.0,20,1085,50.32,12.5696,43.0016,0.2923,0.711,-0.6969,49.95093228655544,56.060606060606055,0.0
B_post_recovery,AF,2,10,2.5,5,3400,49.85,68.3871,52.5753,1.3007,0.4631,-0.4202,49.5748031496063,53.77777777777778,0.0
B_post_recovery,AF,2,10,2.5,10,1976,49.14,80.501,34.1704,2.3559,0.5978,-0.4975,48.91657638136511,52.307692307692314,0.0
B_post_recovery,AF,2,10,2.5,20,1073,48.93,-10.175,41.3278,-0.2462,0.7204,-0.7087,48.19639278557114,58.666666666666664,0.0
B_post_recovery,AF,2,20,1.0,5,3748,48.59,72.1124,25.0879,2.8744,0.4561,-0.3936,48.2729089351984,53.06122448979592,0.0
B_post_recovery,AF,2,20,1.0,10,2075,50.7,57.2949,36.6717,1.5624,0.5644,-0.5244,50.66872427983539,51.14503816793893,0.0
B_post_recovery,AF,2,20,1.0,20,1100,52.36,88.6777,27.9277,3.1753,0.7973,-0.7072,51.89873417721519,58.9041095890411,0.0
B_post_recovery,AF,2,20,1.5,5,3620,48.15,14.8247,37.9516,0.3906,0.4482,-0.4083,48.167848699763596,47.88135593220339,0.0
B_post_recovery,AF,2,20,1.5,10,2029,49.48,39.8711,34.6922,1.1493,0.5575,-0.5072,49.07749077490775,55.3030303030303,0.0
B_post_recovery,AF,2,20,1.5,20,1086,50.92,23.2575,39.18,0.5936,0.7074,-0.6903,50.69033530571993,54.166666666666664,0.0
B_post_recovery,AF,2,20,2.0,5,3451,48.51,-51.7703,74.2274,-0.6975,0.4406,-0.4442,48.77746827607552,44.54545454545455,0.0
B_post_recovery,AF,2,20,2.0,10,1964,50.05,40.5018,36.9464,1.0962,0.5538,-0.5137,49.673202614379086,55.46875,0.0
B_post_recovery,AF,2,20,2.0,20,1074,52.23,39.9296,27.3121,1.462,0.7162,-0.7054,51.896207584830336,56.94444444444444,0.0
B_post_recovery,AF,2,20,2.5,5,3235,49.06,50.1562,27.6137,1.8164,0.4426,-0.3958,49.142480211081796,47.783251231527096,0.0
B_post_recovery,AF,2,20,2.5,10,1887,50.24,-6.8535,45.854,-0.1495,0.531,-0.5434,50.02836074872376,53.2258064516129,0.0
B_post_recovery,AF,2,20,2.5,20,1047,52.15,20.2602,21.1943,0.9559,0.7159,-0.7398,52.14723926380368,52.17391304347826,0.0
B_post_recovery,AF,2,40,1.0,5,3665,48.59,11.2985,74.3976,0.1519,0.4609,-0.4297,48.86561954624782,44.49339207048458,0.0
B_post_recovery,AF,2,40,1.0,10,2042,50.44,94.1756,21.2121,4.4397,0.6147,-0.5326,50.49660219550445,49.6124031007752,0.0
B_post_recovery,AF,2,40,1.0,20,1092,49.45,23.3697,23.1849,1.008,0.7746,-0.7154,49.95131450827653,41.53846153846154,0.0
B_post_recovery,AF,2,40,1.5,5,3488,49.54,19.7814,82.7881,0.2389,0.4437,-0.4244,49.70956893916234,47.004608294930875,0.0
B_post_recovery,AF,2,40,1.5,10,1980,50.96,9.995,56.6605,0.1764,0.5477,-0.5589,51.182795698924735,47.5,0.0
B_post_recovery,AF,2,40,1.5,20,1069,49.2,3.6281,46.5865,0.0779,0.7532,-0.723,49.65034965034965,42.64705882352941,0.0
B_post_recovery,AF,2,40,2.0,5,3278,49.08,48.6342,37.9757,1.2807,0.4631,-0.4173,49.382716049382715,44.5,0.0
B_post_recovery,AF,2,40,2.0,10,1876,50.21,65.7969,23.7942,2.7652,0.5687,-0.5031,50.54007959067653,45.2991452991453,0.0
B_post_recovery,AF,2,40,2.0,20,1033,51.31,29.176,35.1732,0.8295,0.7154,-0.6958,51.23456790123457,52.459016393442624,0.0
B_post_recovery,AF,2,40,2.5,5,3041,48.47,25.5189,72.2884,0.353,0.4549,-0.4116,48.67132867132867,45.30386740331492,0.0
B_post_recovery,AF,2,40,2.5,10,1762,48.75,12.4999,32.947,0.3794,0.5565,-0.5155,49.00422450211225,44.761904761904766,0.0
B_post_recovery,AF,2,40,2.5,20,992,51.81,22.0089,37.0205,0.5945,0.7155,-0.7234,51.92307692307693,50.0,0.0
B_post_recovery,AF,3,10,1.0,5,3693,47.58,-46.9671,130.7663,-0.3592,0.4412,-0.4247,47.57478942782457,47.599999999999994,0.0
B_post_recovery,AF,3,10,1.0,10,2063,48.62,-86.6394,108.1263,-0.8013,0.5149,-0.5689,48.77027734170591,46.71052631578947,0.0
