fold,margin_usage,max_concurrent,max_dd_limit,train_return_pct,train_max_dd,test_return_pct,test_max_dd
fold_1,0.15,1,0.2,60605.87,0.1635,7115349706.7,0.945
fold_2,0.08,3,0.25,456469.95,0.2691,-122.87,1.1936
